transaction_amount,transaction_time,location,device_type,transaction_type,transaction_frequency,past_fraud,fraudulent
63.98,19,4,2,1,20,1,0
8.84,0,3,0,1,43,0,1
52.63,2,5,0,0,38,0,0
30.35,22,6,0,2,31,0,0
45.7,16,2,3,0,21,0,0
133.86,10,0,3,3,22,0,0
15.71,23,4,3,2,13,0,1
9.45,7,7,1,3,44,0,0
8.25,20,6,3,0,47,0,0
8.88,11,6,1,3,25,0,0
18.6,10,4,0,3,22,0,1
28.25,12,1,2,4,38,0,0
26.49,14,6,3,4,20,0,0
45.93,19,3,2,0,32,0,0
20.35,16,7,3,0,16,0,0
85.93,11,2,3,1,20,0,0
15.42,18,5,2,3,41,0,1
304.96,19,1,0,1,22,0,0
37.55,10,7,0,1,42,0,0
8.52,9,0,0,2,38,0,0
6.88,16,3,2,1,45,0,0
32.54,21,2,1,1,37,0,0
16.06,12,7,2,3,15,0,0
41.02,15,5,1,1,12,0,0
32.24,19,2,0,3,9,0,0
18.67,19,3,1,3,37,0,0
8.61,16,0,0,1,44,1,0
4.42,4,0,0,3,15,0,1
12.85,8,2,0,0,44,0,0
47.29,21,6,0,0,22,0,0
24.88,23,2,2,3,12,0,0
5.78,3,6,3,0,27,0,1
23.88,8,7,3,2,19,0,0
29.53,15,0,3,4,47,0,1
8.3,6,3,2,0,25,0,0
23.42,13,1,0,1,10,0,0
21.29,13,6,0,0,35,0,0
6.4,6,4,0,2,44,0,1
28.73,23,4,3,2,12,0,0
35.19,15,4,0,2,8,0,0
59.33,17,0,1,0,11,0,0
57.62,5,7,2,4,39,0,1
5.06,6,2,0,1,19,0,0
7.86,18,0,0,4,23,0,0
33.62,7,2,0,0,24,0,0
33.58,0,2,1,4,15,0,0
33.62,16,0,0,3,20,0,0
946.46,18,3,3,1,25,0,0
35.55,21,5,0,3,14,0,0
62.52,6,2,3,3,10,0,0
52.14,17,2,3,4,48,0,0
38.53,5,6,0,3,29,0,0
14.65,20,1,1,1,47,0,0
42.9,5,0,3,3,49,0,0
9.27,0,2,0,0,49,0,0
15.85,9,7,0,1,12,0,0
12.36,22,3,1,0,33,0,0
21.8,7,5,0,0,23,0,0
203.3,6,5,2,2,14,1,0
3.1,8,7,2,2,23,0,0
39.9,0,4,2,0,49,0,0
4.0,10,5,0,3,37,0,0
12.53,2,4,3,0,22,0,1
59.68,17,3,1,0,29,0,0
21.42,5,5,0,2,36,0,1
6.84,10,0,3,4,2,0,0
9.82,4,5,0,4,20,0,0
39.63,19,6,2,4,5,0,0
9.68,3,5,2,0,27,0,0
24.94,7,6,3,0,3,0,0
21.02,9,4,3,3,18,0,0
10.47,2,6,3,2,13,0,1
171.39,12,4,1,0,22,0,0
37.86,16,6,3,1,13,0,0
2.65,4,3,2,1,12,0,0
24.2,7,2,2,2,32,0,0
10.36,18,1,1,1,36,0,0
47.11,17,7,0,1,7,0,0
9.09,0,7,3,2,6,1,1
17.91,3,0,1,0,40,0,1
33.28,17,0,0,0,37,0,0
47.74,13,5,0,3,6,0,0
6.05,23,4,3,0,25,0,0
14.38,10,1,2,1,27,0,0
12.49,8,2,3,1,5,0,0
10.45,12,6,3,3,19,0,0
117.38,16,6,2,2,9,0,0
30.11,14,7,2,1,40,0,0
5.69,1,6,2,0,1,0,0
50.29,5,4,0,0,46,0,1
167.7,6,7,0,0,9,0,0
56.4,1,6,3,1,39,0,1
4.4,23,4,1,4,10,0,0
12.38,12,5,3,1,49,0,0
71.3,9,2,1,1,43,0,0
9.9,15,7,3,4,49,0,1
31.31,8,2,3,4,14,0,0
43.58,7,7,3,0,46,0,0
7.95,14,7,0,0,40,0,0
18.92,21,2,3,0,25,0,0
0.79,6,1,1,1,19,0,0
7.21,21,0,0,2,17,0,0
15.6,22,7,3,3,18,0,0
5.77,18,6,2,2,46,0,0
102.76,3,3,0,4,40,0,0
4.81,8,4,2,1,9,0,0
12.94,18,0,3,1,1,0,0
22.89,1,2,1,3,6,1,1
84.88,6,4,2,2,38,0,0
4.78,21,1,2,4,38,0,0
64.27,18,5,0,3,39,0,0
20.29,5,4,2,1,17,0,0
7.53,14,6,3,3,9,0,0
31.88,6,1,0,0,11,0,0
24.51,5,0,2,2,18,0,1
11.02,0,4,1,4,45,0,0
21.54,13,3,0,0,46,0,0
13.66,0,3,1,2,37,0,1
22.5,5,5,1,0,7,0,0
38.94,17,2,0,3,35,0,0
98.1,16,2,2,4,44,0,1
5.83,1,1,2,3,7,0,0
169.53,7,7,1,3,39,0,0
2.85,20,0,2,2,11,0,0
17.26,22,1,0,4,10,0,0
36.17,22,0,1,4,34,0,0
26.6,1,2,3,3,24,0,0
10.78,15,2,3,4,12,0,0
16.31,3,1,3,1,9,0,0
12.27,1,6,2,4,22,0,1
11.14,22,0,3,3,38,0,0
46.97,4,0,3,1,46,0,0
28.7,16,4,1,1,32,0,0
10.05,1,3,0,2,8,0,0
49.38,21,4,1,3,48,0,0
27.31,13,3,1,4,21,0,0
45.28,19,5,3,1,16,0,0
37.7,6,3,1,3,33,0,0
8.77,14,0,3,2,42,0,0
11.47,17,7,2,0,25,0,0
42.41,12,1,3,0,39,0,0
36.98,11,6,0,4,6,0,0
19.67,1,4,1,0,4,0,1
22.59,11,1,0,1,23,0,1
72.07,5,2,0,1,9,0,1
11.12,23,0,1,3,36,0,0
34.71,0,2,1,4,11,0,0
16.41,20,0,1,3,35,0,0
16.16,0,3,0,3,12,0,1
60.27,14,6,2,4,35,0,1
45.85,15,0,0,3,7,0,0
45.31,21,5,2,0,29,0,0
74.1,6,1,3,2,21,0,0
20.51,21,4,1,3,3,0,0
39.72,13,5,0,1,24,0,0
14.73,18,5,2,1,30,0,0
27.78,23,5,2,0,27,0,0
17.63,18,5,2,3,29,0,0
22.13,22,1,1,3,30,0,0
36.42,12,2,2,4,36,0,0
8.86,20,1,1,3,23,0,0
162.78,11,4,0,3,37,0,0
7.34,0,2,2,1,26,0,1
5.96,11,4,2,4,36,0,0
63.95,3,2,1,3,28,0,0
44.33,14,1,1,0,37,0,0
37.49,15,1,0,3,4,0,0
37.65,14,1,1,4,29,0,0
19.84,7,0,0,0,44,0,0
8.19,18,2,0,0,14,1,0
21.67,14,1,2,0,44,0,1
10.2,17,6,3,1,45,0,0
53.26,10,3,3,1,37,0,0
17.34,8,3,1,0,33,1,0
8.8,0,6,1,1,31,0,1
14.56,8,3,3,0,14,0,0
30.35,22,2,0,0,25,0,0
11.43,11,4,3,2,9,0,0
8.83,1,4,0,1,25,0,0
25.63,10,1,0,2,41,0,0
25.66,20,1,1,0,46,0,1
12.1,13,7,1,0,25,0,0
12.54,1,0,1,2,30,0,0
25.33,14,4,3,4,20,0,0
4.72,20,1,3,0,23,0,0
4.92,22,6,3,1,1,0,0
9.79,20,6,0,3,15,0,1
16.22,17,2,1,3,21,1,1
27.41,13,6,2,3,30,0,0
87.83,20,4,3,2,11,0,1
47.35,11,4,2,0,26,0,0
17.12,9,0,2,4,30,0,0
19.71,13,1,3,1,9,0,1
7.37,21,0,3,3,5,0,0
19.72,14,7,3,3,47,0,0
15.05,4,2,1,1,47,0,1
27.74,1,2,2,3,34,0,0
8.78,21,1,0,2,33,0,1
33.76,5,5,2,0,34,0,1
93.01,11,1,0,0,1,0,0
18.02,1,2,2,4,15,0,0
30.02,3,4,2,2,31,0,0
40.05,6,4,1,4,12,0,0
13.45,15,5,0,3,7,0,0
25.13,0,1,3,0,45,0,0
20.34,0,1,3,4,33,0,0
22.15,13,5,1,4,42,0,0
9.27,10,5,3,2,32,0,0
20.58,11,3,2,3,5,0,1
33.05,10,4,1,1,38,0,0
85.72,5,0,0,2,5,0,0
52.42,22,7,1,2,17,0,0
172.98,11,4,2,3,7,0,0
9.32,20,5,1,1,25,0,0
48.05,11,4,2,2,25,0,0
24.13,9,4,1,4,3,0,0
179.43,7,6,0,4,36,0,0
8.95,19,5,0,4,28,0,0
8.67,18,2,3,4,23,0,0
11.03,6,7,2,1,8,0,0
2.4,13,5,3,3,31,0,0
11.87,3,1,1,3,21,0,0
9.4,0,6,1,1,45,0,0
23.35,7,7,1,3,35,0,0
28.27,4,4,1,4,41,0,1
131.13,7,7,0,1,41,0,1
51.96,7,5,1,4,42,0,1
11.28,20,6,0,3,29,0,0
8.18,23,0,3,2,3,0,0
32.85,6,7,0,1,44,0,0
5.36,18,7,0,0,25,0,0
125.39,3,3,2,0,2,0,0
65.33,22,6,1,4,44,0,1
12.56,19,1,1,3,41,0,0
3.62,5,3,1,4,34,0,0
77.78,11,5,3,0,15,0,0
17.91,17,0,1,1,39,0,0
69.26,11,7,1,4,39,0,0
4.08,17,0,1,3,40,0,0
11.03,2,7,2,0,47,0,0
20.19,9,0,0,1,12,0,1
21.05,6,6,2,4,24,0,0
12.81,2,3,1,1,6,0,0
37.44,18,5,0,2,6,0,0
6.91,12,0,2,0,48,0,0
17.42,3,4,1,4,37,0,0
22.65,9,4,1,1,26,0,0
33.6,5,0,2,4,3,1,1
40.92,0,0,0,3,32,0,0
6.52,5,0,0,3,46,0,1
4.33,7,5,2,4,18,0,0
72.07,14,6,1,0,28,0,0
28.0,7,0,0,4,33,0,0
9.5,21,0,2,4,17,0,0
94.74,5,6,2,4,32,0,1
22.55,18,3,2,4,12,0,0
65.32,13,6,0,0,37,0,0
21.49,1,5,3,2,21,0,0
157.71,6,4,3,2,2,0,0
116.2,7,1,3,1,26,0,0
15.66,9,7,3,0,39,0,0
53.07,12,3,3,0,17,0,0
38.3,21,1,1,0,36,0,1
78.94,20,4,2,3,34,1,1
7.65,19,4,3,0,19,0,0
39.89,0,0,0,3,32,0,1
57.88,8,1,2,2,22,0,0
3.46,9,5,0,2,45,0,0
6.15,19,1,0,3,39,0,0
2.61,1,2,0,4,18,0,1
15.34,19,3,1,2,24,0,0
41.16,10,4,0,4,1,0,0
90.23,4,5,2,1,41,0,1
21.63,17,6,2,3,2,0,0
102.37,6,4,1,1,40,0,0
5.05,2,7,1,3,24,0,1
3.66,15,5,2,1,40,0,0
19.0,14,6,2,1,2,0,0
29.49,7,5,0,0,27,0,0
19.44,19,2,0,2,2,0,0
2.54,4,3,1,3,23,0,0
18.37,2,0,3,2,33,0,1
5.45,4,0,0,0,34,0,0
39.24,8,1,0,2,32,0,0
28.98,15,7,3,3,3,0,0
7.85,13,5,0,0,27,0,0
12.01,17,3,3,4,12,0,0
6.96,6,3,3,0,8,0,0
18.87,14,3,2,3,20,0,0
52.2,7,3,3,1,17,0,1
7.5,2,3,3,2,45,0,0
33.25,10,7,1,1,33,0,0
11.82,19,1,1,4,11,0,0
9.09,17,0,1,1,9,0,0
18.05,14,1,0,2,34,0,0
7.13,9,5,1,1,44,0,0
11.55,2,0,2,0,43,0,0
6.06,14,0,2,3,7,0,0
143.27,22,4,2,1,16,0,0
20.81,5,6,0,3,27,0,0
9.98,10,5,3,3,15,0,0
24.88,10,7,3,3,24,0,1
17.95,18,3,2,0,37,0,0
16.1,22,6,3,3,49,0,1
37.12,2,0,3,1,40,0,0
42.84,12,7,3,3,19,0,0
11.82,21,7,0,0,23,0,0
11.29,7,5,3,3,39,0,0
15.26,20,6,3,1,31,0,0
2.01,10,0,0,0,30,0,0
4.41,10,1,1,4,7,0,0
78.8,12,3,2,4,45,0,0
104.06,2,7,0,1,3,0,0
15.66,5,6,0,2,38,1,0
35.75,23,2,2,3,48,0,0
27.42,9,4,3,2,30,0,0
436.54,18,4,3,0,10,0,0
61.53,11,3,0,3,34,0,0
17.67,13,1,1,2,13,0,0
7.72,10,1,2,1,39,0,0
4.03,20,5,1,0,13,0,0
24.62,9,7,0,3,25,0,0
9.43,2,0,1,4,41,0,0
4.84,12,2,0,3,34,0,0
10.52,17,6,2,0,40,0,0
6.81,12,7,1,4,40,0,0
108.54,23,5,1,1,40,0,0
48.5,13,1,2,3,34,0,0
19.93,13,6,2,2,15,0,0
88.23,6,1,0,2,3,0,0
21.7,11,1,0,1,46,0,0
8.49,3,2,0,0,22,1,0
92.12,15,3,0,1,34,0,0
34.43,18,6,0,0,5,0,0
7.12,9,2,2,4,41,0,1
16.6,15,0,1,0,22,0,1
8.37,4,7,3,4,29,0,0
5.04,15,1,3,3,8,0,0
50.71,0,1,0,3,34,0,0
135.56,4,2,3,1,4,1,1
4.96,12,0,1,1,25,0,0
35.27,12,6,1,3,23,0,0
10.48,2,1,0,2,25,0,0
12.34,16,0,3,4,34,1,0
11.11,18,6,2,3,44,0,0
8.47,4,2,2,2,6,0,1
21.08,4,1,0,0,34,0,0
8.75,14,5,1,3,21,0,0
26.32,9,5,3,2,44,0,0
19.1,11,1,1,3,30,0,0
15.82,23,3,0,0,3,0,0
8.1,10,1,1,0,15,0,1
11.28,0,1,3,4,21,0,0
42.75,22,1,1,0,19,0,0
33.15,20,2,0,0,19,0,1
7.56,2,1,2,4,49,0,0
22.18,3,1,2,3,46,0,1
42.58,18,2,3,3,34,0,0
3.78,23,1,0,4,14,0,0
34.58,19,5,0,3,4,0,1
10.35,2,4,1,3,31,0,0
35.54,17,5,2,2,46,0,1
9.36,2,7,3,4,11,0,0
3.3,6,0,3,4,44,0,1
3.95,21,7,3,1,45,0,1
21.07,20,7,1,2,11,0,0
26.04,23,1,0,3,49,0,0
8.13,0,4,3,1,4,0,1
38.04,18,2,1,2,16,0,0
3.81,17,1,3,3,38,0,0
18.8,1,4,1,2,6,1,0
5.98,11,1,2,0,18,0,0
10.47,16,0,1,3,25,0,0
21.06,20,6,0,2,24,0,0
8.5,20,7,2,2,39,0,0
13.67,2,4,2,1,47,0,1
54.94,11,0,3,2,9,0,0
11.28,11,3,2,0,37,0,0
46.33,5,2,1,0,34,0,1
6.49,9,7,0,2,34,0,0
34.12,21,3,2,3,40,0,0
84.91,5,6,0,1,40,0,1
1.7,13,3,1,3,37,0,0
9.05,1,4,1,2,28,0,0
35.77,10,1,0,0,48,0,0
16.39,14,5,1,4,11,0,0
29.11,7,2,0,1,14,0,0
10.98,21,4,3,3,26,0,0
21.9,12,2,1,0,8,0,0
17.19,18,4,3,3,28,1,0
64.57,9,1,2,2,20,0,0
25.9,8,0,2,3,25,0,0
28.15,17,7,3,1,10,0,0
13.3,6,7,2,4,11,0,0
12.33,2,7,2,4,26,1,0
13.03,11,3,2,2,23,0,0
29.8,14,2,2,1,19,0,0
13.18,21,4,1,4,18,0,0
26.84,20,4,2,0,19,0,0
160.04,12,0,1,3,39,0,0
48.0,5,7,0,2,40,0,0
14.5,7,7,2,0,15,0,0
66.77,13,6,0,2,16,0,0
13.36,2,7,3,1,20,0,0
2.62,15,6,3,2,19,1,0
7.33,17,3,1,4,11,0,0
3.09,23,4,3,1,7,0,0
14.13,16,6,1,2,19,0,1
20.46,17,4,0,0,24,0,0
107.39,9,7,0,1,31,0,0
27.85,16,4,2,1,48,0,0
16.13,15,5,0,2,8,1,0
46.04,20,1,3,2,24,0,1
2.2,23,7,1,1,8,0,0
25.42,1,2,1,3,13,0,0
43.42,19,0,2,3,10,0,0
4.58,3,1,2,4,19,0,1
63.04,10,3,3,1,23,1,1
28.18,6,1,1,3,42,0,1
13.26,16,2,2,0,33,0,0
37.82,18,7,0,1,30,0,0
194.55,5,4,3,3,30,0,0
24.09,9,0,0,2,29,0,0
25.74,20,2,1,0,37,0,0
12.69,3,3,2,4,35,0,0
8.59,0,2,3,3,9,0,0
46.08,6,6,3,2,8,0,0
8.53,20,0,2,0,48,0,0
21.58,15,0,2,0,25,0,1
12.46,16,1,1,4,42,0,0
32.43,23,5,0,2,46,0,1
28.04,4,5,0,3,37,0,0
56.69,21,5,0,1,38,0,0
12.06,22,3,1,0,8,0,0
15.33,9,5,2,3,26,0,0
7.55,6,4,3,1,11,0,0
12.88,12,0,0,3,40,0,0
29.29,6,7,2,3,23,0,0
42.82,14,0,0,0,32,0,0
7.99,16,1,1,0,45,1,1
47.92,22,2,1,3,1,0,0
77.92,2,6,2,3,49,0,1
30.37,4,7,1,4,48,0,1
131.21,9,5,3,1,9,0,0
9.26,4,5,1,2,40,0,0
5.79,23,7,3,2,28,0,0
3.39,6,4,0,4,33,1,1
89.66,6,5,1,3,32,0,0
38.64,21,6,3,3,8,0,0
19.0,22,1,0,4,37,0,0
26.57,13,7,0,2,18,0,0
6.52,22,7,0,0,7,0,0
231.77,14,4,0,0,18,0,0
22.86,4,5,2,3,48,0,0
22.41,4,2,3,1,12,0,0
41.5,3,3,2,2,4,0,1
32.49,19,6,0,1,13,0,0
25.13,20,1,1,3,11,0,0
9.11,8,0,3,2,16,0,0
32.18,11,2,3,0,44,0,0
131.9,15,6,0,0,14,0,0
77.12,21,0,1,1,16,0,0
98.81,7,6,1,2,22,0,0
12.05,8,3,3,3,18,1,1
7.47,11,4,2,4,40,0,0
17.71,19,3,1,4,25,1,1
21.24,6,0,3,4,35,0,0
59.99,20,4,1,3,7,0,0
3.7,3,0,0,4,20,0,0
92.72,22,1,1,1,27,0,0
17.15,2,5,2,0,29,0,0
13.11,0,7,2,4,10,0,0
7.3,6,0,2,0,11,0,0
3.84,8,4,3,1,20,0,0
45.75,1,3,1,2,33,0,0
21.61,6,1,2,2,43,0,0
5.53,9,6,0,3,37,0,0
5.5,1,7,0,0,13,0,1
14.36,12,5,0,3,16,0,0
106.59,2,2,3,4,11,0,0
15.49,12,6,2,3,5,0,0
4.47,9,7,2,1,38,0,0
15.71,11,1,1,3,3,0,0
15.29,2,2,3,4,2,0,1
1.35,19,7,0,4,38,0,0
19.02,5,6,1,1,10,0,1
15.94,2,3,0,0,6,0,1
40.29,1,1,0,2,21,0,1
127.61,22,2,2,1,31,0,0
61.96,21,4,1,2,34,1,1
15.35,13,0,3,1,49,0,0
6.64,14,3,0,1,32,0,0
263.32,17,0,2,3,29,0,0
21.31,18,0,2,3,1,0,0
20.37,21,2,0,3,33,0,0
19.61,9,5,2,1,38,0,0
24.49,19,7,2,3,17,0,0
17.39,16,7,0,1,34,0,0
11.32,16,4,3,3,49,0,1
11.62,18,5,0,2,16,0,0
19.44,23,1,1,0,7,0,1
11.66,3,2,0,3,36,0,1
9.85,10,7,0,4,13,0,0
22.34,16,5,3,0,20,0,0
15.56,23,6,0,4,4,0,0
90.38,9,6,0,0,5,0,0
1.42,21,5,2,3,16,0,0
59.83,16,7,0,2,9,0,0
69.83,11,0,3,3,43,0,1
2.53,9,0,2,1,12,0,1
14.26,9,5,0,4,14,0,0
13.85,5,1,2,0,15,0,0
4.92,16,0,1,2,5,0,0
9.23,18,1,0,4,42,0,1
6.62,1,6,0,2,18,0,1
115.85,3,3,2,4,8,0,0
51.2,17,2,0,3,8,0,0
71.63,20,3,0,1,25,0,0
41.33,3,1,3,4,4,0,0
6.49,5,4,0,2,26,0,0
11.89,13,4,3,3,11,0,0
32.77,6,0,1,0,6,0,0
5.92,11,3,1,0,33,0,1
40.98,1,1,2,3,22,0,0
15.79,17,7,2,0,29,0,0
13.81,23,3,2,2,5,0,0
40.89,12,6,2,1,1,0,0
31.32,12,4,0,3,22,0,0
14.0,4,1,3,1,35,0,0
64.03,6,6,2,1,31,0,0
6.81,11,3,1,3,3,0,0
37.19,13,5,0,4,3,0,0
36.35,0,5,3,2,7,0,0
14.74,23,2,3,3,1,0,0
27.83,9,4,2,2,42,0,0
5.75,8,7,2,1,24,0,0
50.6,9,5,3,1,37,0,0
16.69,6,7,1,4,30,0,0
11.91,15,2,2,1,32,0,0
57.34,11,3,3,3,32,0,0
9.93,11,4,0,2,21,0,0
4.91,18,4,3,4,48,1,1
4.23,12,2,2,3,16,0,0
36.82,20,2,0,2,4,0,0
5.58,17,4,1,2,17,0,0
116.14,2,2,3,0,13,0,0
2.5,6,7,3,0,35,0,0
109.56,0,6,3,3,40,0,0
24.8,2,7,0,4,34,0,0
18.23,20,7,2,2,11,0,0
11.65,13,2,3,2,36,0,0
29.94,3,0,0,3,25,0,1
19.34,18,4,3,4,40,0,0
60.54,21,1,2,1,30,0,0
22.52,5,3,0,4,13,0,1
23.34,19,6,1,1,24,0,0
13.96,8,1,3,2,36,0,0
18.97,10,3,2,0,34,0,0
27.32,21,7,1,0,8,0,0
3.63,14,4,2,3,18,0,0
5.22,8,4,1,4,7,0,0
42.24,10,6,2,4,49,0,0
23.83,9,7,1,1,46,0,0
16.71,1,3,0,3,22,0,1
20.46,21,5,1,4,7,0,0
28.43,13,3,2,3,13,0,0
11.71,3,5,3,1,2,0,0
9.22,1,7,1,2,44,0,0
24.43,4,4,2,3,2,0,0
7.55,13,5,3,0,29,0,0
30.21,14,0,0,2,27,0,0
3.66,18,3,0,4,40,1,0
56.21,5,7,3,1,18,0,1
32.22,14,4,2,1,2,0,0
25.95,13,7,2,0,4,0,0
53.66,7,5,1,3,49,0,1
106.22,19,0,0,0,46,0,0
55.39,11,6,0,3,8,0,0
3.19,3,5,0,0,36,0,1
5.59,20,2,0,0,48,0,1
10.75,5,6,2,1,9,0,0
20.62,10,7,0,3,18,0,0
33.71,22,4,3,0,22,0,0
9.72,21,4,2,4,45,0,0
24.21,6,0,3,1,11,0,0
9.44,3,4,3,1,27,1,0
10.9,14,6,2,1,32,0,0
4.92,0,4,3,1,2,0,0
7.98,8,6,3,0,2,0,0
5.2,22,7,1,0,30,0,0
7.57,19,2,0,1,22,0,0
57.61,7,2,3,0,22,0,0
7.77,11,2,1,0,24,0,0
279.33,6,2,1,3,27,0,0
32.89,17,0,0,4,11,0,0
24.16,0,4,1,3,13,0,0
8.51,8,2,1,2,27,0,0
40.46,6,4,3,3,15,0,0
11.3,13,0,0,4,48,0,1
22.69,0,0,0,4,48,0,1
259.84,12,1,3,3,49,0,1
18.25,19,7,2,3,17,0,0
63.39,14,1,1,2,39,0,0
9.94,4,4,3,1,9,0,0
19.39,4,2,1,4,23,0,1
118.01,13,0,0,1,4,0,0
10.73,13,6,0,2,15,0,0
123.03,13,5,1,0,43,0,1
40.76,4,5,0,0,31,0,0
11.44,10,4,0,1,6,0,0
